file,label,source,text
bonafide_00.wav,bonafide,librispeech_human,human voice recording
bonafide_01.wav,bonafide,librispeech_human,human voice recording
human_librispeech_00.wav,bonafide,librispeech_human,human voice recording
human_librispeech_01.wav,bonafide,librispeech_human,human voice recording
human_librispeech_02.wav,bonafide,librispeech_human,human voice recording
human_librispeech_03.wav,bonafide,librispeech_human,human voice recording
human_librispeech_04.wav,bonafide,librispeech_human,human voice recording
human_librispeech_05.wav,bonafide,librispeech_human,human voice recording
human_librispeech_06.wav,bonafide,librispeech_human,human voice recording
human_librispeech_07.wav,bonafide,librispeech_human,human voice recording
neural_tts_00.wav,spoof,neural_tts_00,neural tts voice clone
neural_tts_01.wav,spoof,neural_tts_01,neural tts voice clone
neural_tts_02.wav,spoof,neural_tts_02,neural tts voice clone
neural_tts_03.wav,spoof,neural_tts_03,neural tts voice clone
neural_tts_04.wav,spoof,neural_tts_04,neural tts voice clone
neural_tts_05.wav,spoof,neural_tts_05,neural tts voice clone
neural_tts_06.wav,spoof,neural_tts_06,neural tts voice clone
neural_tts_07.wav,spoof,neural_tts_07,neural tts voice clone
synthetic_00.wav,spoof,pyttsx3,synthetic speech
synthetic_01.wav,spoof,pyttsx3,synthetic speech
synthetic_02.wav,spoof,pyttsx3,synthetic speech
synthetic_03.wav,spoof,pyttsx3,synthetic speech
synthetic_04.wav,spoof,pyttsx3,synthetic speech
